name,damage,damage_2,isMatched
dc354_broken_000_bottom_000.png,2,2,False
dc354_broken_000_bottom_001.png,4,4,True
dc354_broken_000_bottom_002.png,2,2,False
dc354_broken_000_bottom_003.png,2,2,True
dc354_broken_000_bottom_004.png,2,2,False
dc354_broken_000_bottom_005.png,2,2,True
dc354_broken_000_bottom_006.png,3,3,True
dc354_broken_000_bottom_007.png,2,2,True
dc354_broken_000_bottom_008.png,2,2,False
dc354_broken_000_bottom_009.png,1,1,True
dc354_broken_000_bottom_010.png,2,2,False
dc354_broken_000_bottom_011.png,3,2,False
dc354_broken_000_bottom_012.png,4,4,True
dc354_broken_000_bottom_013.png,2,2,False
dc354_broken_000_bottom_014.png,2,2,True
dc354_broken_000_bottom_015.png,2,2,False
dc354_broken_000_bottom_016.png,1,1,False
dc354_broken_000_bottom_017.png,2,2,True
dc354_broken_000_bottom_018.png,2,2,False
dc354_broken_000_bottom_019.png,2,2,False
dc354_broken_000_bottom_020.png,1,1,False
dc354_broken_000_bottom_021.png,2,2,False
dc354_broken_000_bottom_022.png,4,4,True
dc354_broken_000_bottom_023.png,4,4,False
dc354_broken_000_bottom_024.png,3,3,True
dc354_broken_000_bottom_025.png,2,2,True
dc354_broken_000_bottom_026.png,1,1,True
dc354_broken_000_bottom_027.png,4,4,True
dc354_broken_000_bottom_028.png,2,2,True
dc354_broken_000_bottom_029.png,3,4,False
dc354_broken_000_bottom_030.png,1,1,True
dc354_broken_000_bottom_031.png,1,1,True
dc354_broken_000_bottom_032.png,2,2,False
dc354_broken_000_bottom_033.png,2,2,False
dc354_broken_000_bottom_034.png,1,1,False
dc354_broken_000_bottom_035.png,2,2,False
dc354_broken_000_bottom_036.png,2,2,False
dc354_broken_000_bottom_037.png,2,2,True
dc354_broken_000_bottom_038.png,1,1,True
dc354_broken_000_bottom_039.png,1,1,True
dc354_broken_000_bottom_040.png,1,1,True
dc354_broken_000_bottom_041.png,2,2,False
dc354_broken_000_bottom_042.png,2,2,True
dc354_broken_000_bottom_043.png,2,2,True
dc354_broken_000_bottom_044.png,2,2,True
dc354_broken_000_bottom_045.png,1,1,False
dc354_broken_000_bottom_046.png,1,1,False
dc354_broken_000_bottom_047.png,2,2,False
dc354_broken_000_bottom_048.png,2,2,False
dc354_broken_000_bottom_049.png,2,2,True
dc354_broken_000_bottom_050.png,1,1,True
dc354_broken_000_bottom_051.png,2,2,False
dc354_broken_000_bottom_052.png,2,4,False
dc354_broken_000_bottom_053.png,3,3,False
dc354_broken_000_bottom_054.png,2,2,True
dc354_broken_000_bottom_055.png,2,2,True
dc354_broken_000_bottom_056.png,4,4,False
dc354_broken_000_bottom_057.png,4,4,False
dc354_broken_000_bottom_058.png,2,2,False
dc354_broken_000_bottom_059.png,1,1,False
dc354_broken_000_bottom_060.png,4,4,False
dc354_broken_000_bottom_061.png,4,4,True
dc354_broken_000_bottom_062.png,2,2,False
dc354_broken_000_bottom_063.png,1,1,False
dc354_broken_000_bottom_064.png,2,2,True
dc354_broken_000_bottom_065.png,3,3,True
dc354_broken_000_bottom_066.png,1,1,False
dc354_broken_000_bottom_067.png,2,2,False
dc354_broken_000_bottom_068.png,2,2,False
dc354_broken_000_bottom_069.png,3,3,False
dc354_broken_000_bottom_070.png,3,3,True
dc354_broken_000_bottom_071.png,3,3,False
dc354_broken_000_bottom_072.png,1,1,True
dc354_broken_000_bottom_073.png,2,2,False
dc354_broken_000_bottom_074.png,1,1,True
dc354_broken_000_bottom_075.png,2,2,True
dc354_broken_000_bottom_076.png,1,1,True
dc354_broken_000_bottom_077.png,2,2,False
dc354_broken_000_bottom_078.png,4,4,False
dc354_broken_000_bottom_079.png,1,1,False
dc354_broken_000_bottom_080.png,2,2,False
dc354_broken_000_bottom_081.png,4,4,False
dc354_broken_000_bottom_082.png,2,2,True
dc354_broken_000_bottom_083.png,1,1,False
dc354_broken_000_bottom_084.png,2,2,True
dc354_broken_000_bottom_085.png,3,3,True
dc354_broken_000_bottom_086.png,2,4,False
dc354_broken_000_bottom_087.png,1,1,True
dc354_broken_000_bottom_088.png,1,1,True
dc354_broken_000_bottom_089.png,2,2,True
dc354_broken_000_bottom_090.png,4,4,True
dc354_broken_000_bottom_091.png,2,2,True
dc354_broken_000_bottom_092.png,1,1,False
dc354_broken_000_bottom_093.png,1,1,False
dc354_broken_000_bottom_094.png,2,2,False
dc354_broken_000_bottom_095.png,2,2,False
dc354_broken_000_bottom_096.png,4,4,False
